"","data_version","Annotator","region","Site.ID","Comments","File.Name","Date","Start.Time","End.Time","Length","Anth","Bio","Geo","Sil","Auto","Airc","Mach","Flare","Bird","Mam","Bug","Wind","Rain","Water","Truck","Car","Prop","Helo","Jet","Corv","SongB","DGS","Grous","Crane","Loon","SeaB","Owl","Hum","Rapt","Woop","ShorB","Woof","Bear","Mous","Deer","Weas","Meow","Hare","Shrew","Mosq","Fly","Chewing","Burps","Vocal","Hoofclick","Clip.Path","Reviewed","extra_tags","Bio_r","Bird_r","Anth_r","Geo_r","Sil_r","Auto_r","Airc_r","Mach_r","Flare_r","Mam_r","Bug_r","Wind_r","Rain_r","Water_r","Truck_r","Car_r","Prop_r","Helo_r","Jet_r","Corv_r","SongB_r","DGS_r","Grous_r","Crane_r","Loon_r","SeaB_r","Owl_r","Hum_r","Rapt_r","Woop_r","ShorB_r","Woof_r","Bear_r","Mous_r","Deer_r","Weas_r","Meow_r","Hare_r","Shrew_r","Mosq_r","Fly_r","Chewing_r","Burps_r","Vocal_r","Hoofclick_r","test"
"156","megan-collars_V1","N/A","collars","149_781",NA,"20210625_160001.flac","6/25/2021","36:45.0","36:55.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210625_160001_36m_44s__36m_54s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","megan-collars_V1","N/A","collars","149_781",NA,"20210625_150045.flac","6/25/2021","51:18.0","51:28.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210625_150045_50m_33s__50m_43s.flac","megan","collar detached?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","megan-collars_V1","N/A","collars","149_781",NA,"20210625_160001.flac","6/25/2021","19:03.0","19:13.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210625_160001_19m_2s__19m_12s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","megan-collars_V1","N/A","collars","149_781",NA,"20210623_100020.flac","6/23/2021","30:30.0","30:40.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210623_100020_30m_10s__30m_20s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","megan-collars_V1","N/A","collars","149_781",NA,"20210621_160001.flac","6/21/2021","51:51.0","52:01.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210621_160001_51m_50s__52m_0s.flac","megan","running, footsteps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","megan-collars_V1","N/A","collars","149_781",NA,"20210625_120030.flac","6/25/2021","06:13.0","06:23.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210625_120030_5m_43s__5m_53s.flac","megan","detached collar?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","megan-collars_V1","N/A","collars","149_781",NA,"20210624_100020.flac","6/24/2021","15:24.0","15:34.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210624_100020_15m_4s__15m_14s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","megan-collars_V1","N/A","collars","149_781",NA,"20210621_070005.flac","6/21/2021","37:26.0","37:36.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210621_070005_37m_21s__37m_31s.flac","megan","running, rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","megan-collars_V1","N/A","collars","149_781",NA,"20210624_170005.flac","6/24/2021","15:47.0","15:57.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210624_170005_15m_42s__15m_52s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","megan-collars_V1","N/A","collars","149_781",NA,"20210622_080010.flac","6/22/2021","51:26.0","51:36.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210622_080010_51m_16s__51m_26s.flac","megan","running, moving but hoofclicks unclear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","megan-collars_V1","N/A","collars","149_781",NA,"20210624_110025.flac","6/24/2021","18:53.0","19:03.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210624_110025_18m_28s__18m_38s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","megan-collars_V1","N/A","collars","149_781",NA,"20210627_090015.flac","6/27/2021","36:34.0","36:44.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210627_090015_36m_19s__36m_29s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","megan-collars_V1","N/A","collars","149_781",NA,"20210622_110025.flac","6/22/2021","49:19.0","49:29.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210622_110025_48m_54s__49m_4s.flac","megan","running",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","megan-collars_V1","N/A","collars","149_781",NA,"20210628_060000.flac","6/28/2021","05:30.0","05:40.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210628_060000_5m_30s__5m_40s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","megan-collars_V1","N/A","collars","149_781",NA,"20210622_110025.flac","6/22/2021","00:20.0","00:30.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210622_110025_59m_55s__60m_5s.flac","megan","running",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","megan-collars_V1","N/A","collars","149_781",NA,"20210624_150045.flac","6/24/2021","17:26.0","17:36.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210624_150045_16m_41s__16m_51s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","megan-collars_V1","N/A","collars","149_781",NA,"20210627_130035.flac","6/27/2021","12:19.0","12:29.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210627_130035_11m_44s__11m_54s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","megan-collars_V1","N/A","collars","149_781",NA,"20210627_090015.flac","6/27/2021","05:12.0","05:22.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210627_090015_4m_57s__5m_7s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","megan-collars_V1","N/A","collars","149_781",NA,"20210627_170005.flac","6/27/2021","54:53.0","55:03.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210627_170005_54m_48s__54m_58s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","megan-collars_V1","N/A","collars","149_781",NA,"20210625_080010.flac","6/25/2021","57:56.0","58:06.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210625_080010_57m_46s__57m_56s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","megan-collars_V1","N/A","collars","149_781",NA,"20210624_160001.flac","6/24/2021","57:50.0","58:00.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210624_160001_57m_49s__57m_59s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","megan-collars_V1","N/A","collars","149_781",NA,"20210625_160001.flac","6/25/2021","32:50.0","33:00.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210625_160001_32m_49s__32m_59s.flac","megan","collar detached?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","megan-collars_V1","N/A","collars","149_781",NA,"20210624_120030.flac","6/24/2021","01:23.0","01:33.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210624_120030_0m_53s__1m_3s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","megan-collars_V1","N/A","collars","149_781",NA,"20210622_120030.flac","6/22/2021","12:34.0","12:44.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210622_120030_12m_4s__12m_14s.flac","megan","running",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","megan-collars_V1","N/A","collars","149_781",NA,"20210627_090015.flac","6/27/2021","44:07.0","44:17.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210627_090015_43m_52s__44m_2s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","megan-collars_V1","N/A","collars","149_781",NA,"20210626_060000.flac","6/26/2021","54:40.0","54:50.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210626_060000_54m_40s__54m_50s.flac","megan","collar detached",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","megan-collars_V1","N/A","collars","149_781",NA,"20210625_150045.flac","6/25/2021","19:55.0","20:05.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210625_150045_19m_10s__19m_20s.flac","megan","collar detached",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","megan-collars_V1","N/A","collars","149_781",NA,"20210623_090015.flac","6/23/2021","46:51.0","47:01.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210623_090015_46m_36s__46m_46s.flac","megan","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","megan-collars_V1","N/A","collars","149_781",NA,"20210626_110025.flac","6/26/2021","55:09.0","55:19.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210626_110025_54m_44s__54m_54s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","megan-collars_V1","N/A","collars","149_781",NA,"20210625_110025.flac","6/25/2021","49:47.0","49:57.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210625_110025_49m_22s__49m_32s.flac","megan","collar detached",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","megan-collars_V1","N/A","collars","149_781",NA,"20210627_110025.flac","6/27/2021","45:25.0","45:35.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210627_110025_45m_0s__45m_10s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","megan-collars_V1","N/A","collars","149_781",NA,"20210625_170005.flac","6/25/2021","40:18.0","40:28.0","00:10.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/scratch/enis/data/nna/labeling/samples/megan-collars_V1/audio_megan-collars_V1/collars/149_781/2021/20210625_170005_40m_13s__40m_23s.flac","megan","rustling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
